food_name,food_group,calories,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,serving_size_g,protein_calorie_ratio
Tambda Rassa,Vegetarian,314,41.87,16.75,10.47,4.19,3.14,0,100,0.05
Biryani,Vegetarian,460,61.33,10.22,20.44,8.18,5.11,0,100,0.02
Navratan Korma,Vegetarian,382,42.97,9.55,17.19,9.55,4.77,0,100,0.03
Maharashtrian Bhaji,Vegetarian,216,29.45,5.89,7.85,2.95,3.93,0,100,0.03
Karvande,Vegetarian,175,24.31,2.92,6.81,1.94,1.94,0,100,0.02
Ragda Pattice,Vegetarian,367,52.43,8.39,15.73,4.19,5.24,0,100,0.02
Chana Biryani,Vegetarian,443,63.99,11.81,14.77,4.92,3.94,0,100,0.03
Alu Patra,Vegetarian,232,32.48,4.64,7.42,2.78,2.78,0,100,0.02
Chivda,Vegetarian,282,37.6,7.52,9.4,4.7,3.76,0,100,0.03
Garadu,Vegetarian,264,33,3.77,11.31,1.89,2.83,0,100,0.01
Masale Bhath,Vegetarian,375,53.57,10.71,16.07,5.36,6.43,0,100,0.03
Ambapoli,Vegetarian,310,55.36,5.54,11.07,19.93,4.43,0,100,0.02
Kairi Chi Koshimbir,Vegetarian,164,18.22,2.73,7.29,4.56,1.82,0,100,0.02
Khichdi,Vegetarian,278,37.07,6.49,9.27,1.85,3.71,0,100,0.02
Chandrakala,Vegetarian,266,42.56,4.26,10.64,19.15,4.26,0,100,0.02
Pohe Shira,Vegetarian,212,27.65,4.61,7.37,12.9,1.84,0,100,0.02
Tamda Rassa,Vegetarian,258,30.96,12.38,10.32,4.13,2.06,0,100,0.05
Chana Sookha,Vegetarian,224,26.88,7.17,7.17,3.58,4.48,0,100,0.03
Amti,Vegetarian,234,30.33,8.67,5.2,2.6,3.47,0,100,0.04
Methi Thepla,Vegetarian,258,30.1,6.02,8.6,4.3,5.16,0,100,0.02
Pitla,Vegetarian,258,36.12,7.22,10.32,2.06,3.1,0,100,0.03
Batata Bhaji,Vegetarian,188,20.43,3.27,6.54,1.63,3.27,0,100,0.02
Shorshe Ilish,Vegetarian,405,20.25,25.31,25.31,5.06,2.03,75.94,100,0.06
Macher Jhol,Vegetarian,355,35.5,20.29,15.21,3.04,3.04,50.71,100,0.06
Chingri Malai Curry,Vegetarian,433,28.87,21.17,24.06,7.7,1.92,62.54,100,0.05
Shorshe Bata,Vegetarian,355,41.42,23.67,17.75,5.92,4.73,53.25,100,0.07
Cholar Dal,Vegetarian,272,43.52,10.88,8.7,3.26,5.44,0,100,0.04
Shorshe Paturi,Vegetarian,370,26.43,19.03,23.26,4.23,3.17,68.71,100,0.05
Alur Dom,Vegetarian,292,38.93,5.84,11.68,2.92,3.89,0,100,0.02
Khichuri,Vegetarian,342,53.74,7.82,9.77,4.89,4.89,0,100,0.02
Bengali Beguni,Vegetarian,272,38.08,6.53,13.06,3.26,3.26,0,100,0.02
Pora Shorshe Ilish,Vegetarian,436,18.69,29.07,26.47,6.23,3.11,83.05,100,0.07
Macher Kalia,Vegetarian,420,42,21,21,4.2,2.1,63,100,0.05
Bengali Fish Fry,Non-Vegetarian,352,29.33,21.12,23.47,2.35,3.52,46.93,100,0.06
Dhokar Dalna,Vegetarian,280,40,12,8,2,6,0,100,0.04
Chingri Bhorta,Vegetarian,350,25,22,18,4,2,70,100,0.06
Shukto,Vegetarian,242,29.04,7.74,9.68,3.87,3.87,0,100,0.03
Labra,Vegetarian,282,41.78,8.36,10.44,5.22,5.22,0,100,0.03
Bengali Luchi,Vegetarian,292,38.93,5.84,11.68,1.95,2.92,0,100,0.02
Shorshe Ilish Bhorta,Vegetarian,390,20.53,28.74,22.58,7.18,3.08,71.84,100,0.07
Beguni Bhaja,Vegetarian,216,32.4,6.48,8.64,2.16,4.32,0,100,0.03
Posto Bata,Vegetarian,240,42,8.4,9.6,3.6,6,0,100,0.04
Chingri Bhorta,Vegetarian,342,26.72,21.38,19.24,5.34,3.21,64.13,100,0.06
Macher Manna,Vegetarian,400,30,25,20,6,3,50,100,0.06
Chingri Malai,Vegetarian,433,28.87,21.17,24.06,7.7,1.92,62.54,100,0.05
Kosha Mangsho,Vegetarian,595,47.6,33.92,30.35,5.95,4.76,77.35,100,0.06
Kolar Bora,Vegetarian,212,31.8,5.3,8.48,5.3,2.12,0,100,0.03
Papad Bhaja,Vegetarian,170,28.33,4.53,6.8,3.4,3.4,0,100,0.03
Chingri Paturi,Vegetarian,366,19.26,21.19,21.19,5.78,2.89,62.61,100,0.06
Shorshe Bata Macher Jhol,Vegetarian,382,32.74,27.29,19.65,4.37,3.27,54.57,100,0.07
Chingri Machher Malai,Vegetarian,470,29.24,22.98,26.63,9.4,2.09,62.67,100,0.05
Phoolkopir Dalna,Vegetarian,252,32.67,9.33,7.47,2.8,4.67,0,100,0.04
Bhuna Khichuri,Vegetarian,367,48.29,7.73,14.49,5.79,3.86,0,100,0.02
Chingri Malai Curry,Vegetarian,433,28.87,21.17,24.06,7.7,1.92,67.36,100,0.05
Pui Shaak Bhaja,Vegetarian,202,33.67,7.86,6.73,3.37,4.49,0,100,0.04
Shorshe Bhapa Ilish,Vegetarian,452,23.13,29.43,26.8,7.36,3.15,78.84,100,0.07
Chingri Bhuna,Vegetarian,390,28.74,20.53,22.58,6.16,3.08,61.58,100,0.05
Dimer Dalna,Vegetarian,308,39.6,12.32,7.04,2.64,4.4,0,100,0.04
Sorshe Ilish Bhaja,Vegetarian,441,25.81,30.65,26.89,7.53,3.23,80.67,100,0.07
Kachori,Vegetarian,367,52.43,8.39,15.73,6.29,4.19,0,100,0.02
Macher Jhol Bhuna,Vegetarian,398,29.85,19.9,21.89,4.97,2.98,49.75,100,0.05
Shorshe Ilish Bhorta,Vegetarian,425,22.26,28.33,25.3,8.1,3.04,70.83,100,0.07
Bengali Sweets Platter,Vegetarian,442,53.04,8.84,15.91,17.68,4.42,0,100,0.02
Bhapa Ilish,Vegetarian,444,23.37,32.72,29.79,7.01,3.51,87.63,100,0.07
Bengali Dhokla,Vegetarian,256,51.2,7.68,10.24,3.84,5.12,0,100,0.03
Shrimp Masala,Vegetarian,417,27.8,19.86,24.82,4.96,2.98,59.57,100,0.05
Bengali Chingri Bhuna,Vegetarian,398,29.33,23.04,23.04,6.28,4.19,57.61,100,0.06
Lobster Malai Curry,Vegetarian,510,32.64,28.56,26.01,9.18,2.04,81.6,100,0.06
Roshogolla,Vegetarian,163,32.6,4.35,3.26,16.3,0,0,100,0.03
Chamcham,Vegetarian,158,29.63,4.94,1.98,11.85,0.99,0,100,0.03
Shondesh,Vegetarian,209,40.64,6.97,5.81,20.9,2.32,0,100,0.03
Patishapta,Vegetarian,264,42.24,8.45,8.45,21.12,3.17,0,100,0.03
Chhena Poda,Vegetarian,302,45.3,8.05,10.07,25.17,4.03,0,100,0.03
Bengali Sandesh,Vegetarian,202,27.55,6.43,5.51,16.53,1.84,0,100,0.03
Ras Malai,Vegetarian,347,44.61,7.93,14.87,24.79,2.97,0,100,0.02
Chomchom,Vegetarian,159,27.83,4.97,2.98,14.91,0.99,0,100,0.03
Amriti,Vegetarian,309,57.22,8.01,10.3,17.17,3.43,0,100,0.03
Doi Maach,Vegetarian,400,30,25,20,6,3,60,100,0.06
Alu Posto,Vegetarian,244,34.16,7.81,7.81,4.88,3.9,0,100,0.03
Shukto Bhaja,Vegetarian,262,33.96,7.76,9.7,3.88,4.85,0,100,0.03
Bengali Fish Curry,Non-Vegetarian,408,37.58,23.62,21.47,6.44,4.29,53.68,100,0.06
Bengali Egg Curry,Non-Vegetarian,306,40.8,14.28,10.2,4.08,5.1,0,100,0.05
Bhapa Doi,Vegetarian,328,42.17,9.37,11.25,16.87,2.81,0,100,0.03
Masala Prawn Curry,Non-Vegetarian,400,28.57,23.81,19.05,5.71,2.86,57.14,100,0.06
Bengali Kathi Roll,Vegetarian,462,56.47,20.53,18.48,7.19,4.11,0,100,0.04
Shorshe Paturi,Vegetarian,378,24.87,19.89,21.88,4.97,2.98,69.63,100,0.05
Bengali Baingan Bhaja,Vegetarian,216,25.92,5.18,6.91,3.46,3.46,0,100,0.02
Shorshe Ilish Bhorta,Vegetarian,476,35.7,30.94,30.35,5.95,4.76,89.25,100,0.07
Kachauli,Vegetarian,232,40.6,5.8,9.28,4.64,3.48,0,100,0.03
Bengali Sondesh,Vegetarian,189,31.5,6.3,5.25,15.75,3.15,0,100,0.03
Chingri Bhorta,Vegetarian,398,37.31,24.88,27.36,7.46,2.49,74.63,100,0.06
Shorshe Ilish Bhorta,Vegetarian,425,22.26,28.33,25.3,8.1,3.04,75.89,100,0.07
Bengali Macher Kalia,Vegetarian,420,35,25,20,6,3,60,100,0.06
Dimer Bora,Vegetarian,250,30,10,10,4,3,0,100,0.04
Sorshe Ilish Bhuna,Vegetarian,457,31.88,29.76,26.57,8.5,3.19,74.4,100,0.07
Chingri Malai,Vegetarian,450,32.73,22.5,26.08,7.16,2.05,66.48,100,0.05
Alu Bhorta,Vegetarian,232,35.3,5.04,8.07,3.03,5.04,0,100,0.02
Shorshe Bata Macher Bhorta,Vegetarian,425,29.75,23.38,26.56,5.31,4.25,63.75,100,0.06
Bengali Pulao,Vegetarian,314,44.86,5.38,8.97,4.49,3.59,0,100,0.02
Chingri Bhorta,Vegetarian,380,33.25,26.13,23.75,7.13,3.56,71.25,100,0.07
Chingri Malai Prawn,Non-Vegetarian,460,31.36,23,26.66,6.27,2.09,73.18,100,0.05
Shorshe Ilish Paturi,Vegetarian,452,21.52,30.67,27.44,7.53,3.23,80.71,100,0.07
Macher Tenga,Vegetarian,338,45.07,24.79,11.27,4.51,3.38,56.33,100,0.07
Kosha Mangsho,Vegetarian,595,47.6,33.92,30.35,5.95,4.76,77.35,100,0.06
Shorshe Bata Bhorta,Vegetarian,372,34.88,20.93,23.25,5.81,4.65,69.75,100,0.06
Dimer Dalna,Vegetarian,280,41.48,12.44,8.3,3.11,5.19,0,100,0.04
Shorshe Bata Machher Jhol,Vegetarian,414,36.23,28.98,18.63,6.21,3.11,62.1,100,0.07
Beguni,Vegetarian,220,33,7.7,8.8,3.3,3.3,0,100,0.04
Macher Bhorta,Vegetarian,374,28.33,31.73,20.4,5.67,3.4,68,100,0.08
Chingri Malai,Vegetarian,417,25.95,18.53,23.17,8.34,1.85,69.5,100,0.04
Patishapta,Vegetarian,278,39.71,6.95,9.93,19.86,2.98,0,100,0.03
Chingri Bhuna,Vegetarian,406,32.05,23.51,23.51,6.41,3.21,64.11,100,0.06
Bengali Aloo Macher Jhol,Vegetarian,320,35,18,12,6,3,50,100,0.06
Chingri Paturi,Vegetarian,378,24.87,19.89,21.88,5.97,2.98,69.63,100,0.05
Macher Manna,Vegetarian,406,29,21.27,21.27,6.77,2.9,58,100,0.05
Shorshe Ilish Bhaja,Vegetarian,484,33.05,33.64,30.1,7.08,3.54,88.54,100,0.07
Chingri Bhorta,Vegetarian,362,33.94,22.63,20.36,6.79,3.39,67.88,100,0.06
Shukto Bhaja,Vegetarian,262,33.96,7.76,9.7,3.88,4.85,0,100,0.03
Kolar Bora,Vegetarian,224,30.55,8.15,8.15,5.09,3.05,0,100,0.04
Bengali Moong Dal,Vegetarian,272,43.52,10.88,8.7,2.18,5.44,0,100,0.04
Bengali Bhuna Khichuri,Vegetarian,367,48.29,7.73,14.49,5.79,3.86,0,100,0.02
Sorshe Ilish Bhuna,Vegetarian,457,31.88,29.76,26.57,8.5,3.19,74.4,100,0.07
Dhokar Dalna,Vegetarian,300,39.31,10.34,12.41,3.1,6.21,0,100,0.03
Chingri Malai Curry,Vegetarian,450,32,22,25.5,7,3,65,100,0.05
Alu Bhorta,Vegetarian,240,33.6,6.72,7.68,3.84,4.8,0,100,0.03
Kosha Mangsho,Vegetarian,595,47.6,33.92,30.35,5.95,4.76,77.35,100,0.06
Bhapa Doi,Vegetarian,328,46.13,10.25,12.3,18.45,3.08,0,100,0.03
Chingri Bhuna,Vegetarian,418,29.86,24.88,21.9,5.97,2.99,59.71,100,0.06
Macher Paturi,Vegetarian,408,30.06,21.47,25.77,6.44,3.22,69.79,100,0.05
Shorshe Ilish Bhorta,Vegetarian,434,30.38,23.87,27.67,6.51,3.26,75.95,100,0.06
Bengali Macher Bhorta,Vegetarian,335,30.45,20.3,15.23,5.08,3.05,55.83,100,0.06
Shorshe Ilish Paturi,Vegetarian,444,21.14,29.6,26.96,8.46,4.23,74,100,0.07
Chingri Malai,Vegetarian,417,25.95,18.53,23.17,6.49,1.85,64.87,100,0.04
Shorshe Ilish Bhaja,Vegetarian,484,33.05,33.64,30.1,8.26,4.72,88.54,100,0.07
Dhokar Dalna,Vegetarian,272,36.91,11.66,7.77,2.91,4.86,0,100,0.04
Shorshe Ilish Bhorta,Vegetarian,425,22.26,28.33,25.3,8.1,3.04,75.89,100,0.07
Chingri Bhorta,Vegetarian,398,37.31,24.88,27.36,6.22,4.98,74.63,100,0.06
Chingri Malai Prawn,Non-Vegetarian,433,28.87,21.17,24.06,6.74,2.89,67.36,100,0.05
Shorshe Bata Macher Jhol,Vegetarian,414,36.23,28.98,18.63,6.21,3.11,62.1,100,0.07
Chingri Bhuna,Vegetarian,406,32.05,23.51,23.51,6.41,3.21,64.11,100,0.06
Bengali Bhuna Khichuri,Vegetarian,367,48.29,7.73,14.49,5.79,3.86,0,100,0.02
Shorshe Ilish Bhuna,Vegetarian,457,31.88,29.76,26.57,8.5,3.19,74.4,100,0.07
Khandvi,Vegetarian,161,26.83,4.29,5.37,2.15,2.15,0,100,0.03
Thepla,Vegetarian,256,46.55,6.98,9.31,3.49,4.65,0,100,0.03
Handvo,Vegetarian,278,44.48,7.78,11.12,3.34,5.56,0,100,0.03
Undhiyu,Vegetarian,402,52.89,10.58,19.04,5.29,6.35,42.32,100,0.03
Patra,Vegetarian,231,40.43,8.09,8.09,3.47,5.78,0,100,0.04
Dal Dhokli,Vegetarian,364,52,14.56,12.48,6.24,6.24,0,100,0.04
Sev Tameta,Vegetarian,327,46.71,9.34,17.52,8.18,5.84,0,100,0.03
Khichdi,Vegetarian,318,47.7,12.72,10.6,4.24,6.36,0,100,0.04
Gujarati Kadhi,Vegetarian,204,31.73,5.67,9.07,3.4,2.27,0,100,0.03
Chakri,Vegetarian,234,31.91,6.38,10.64,2.13,2.13,0,100,0.03
Shakariya,Vegetarian,271,48.78,7.59,7.59,4.34,3.25,0,100,0.03
Garlic Chutney,Vegetarian,71,10.14,1.01,3.04,1.01,1.01,0,100,0.01
Chaas,Vegetarian,68,4.86,2.91,3.89,2.91,0.97,0,100,0.04
Farsan,Vegetarian,235,35.76,8.17,7.15,4.09,3.07,0,100,0.03
Chhole,Vegetarian,344,44.23,13.76,11.79,3.93,4.91,0,100,0.04
Gathiya,Vegetarian,229,32.71,7.63,9.81,3.27,2.18,0,100,0.03
Dal Tadka,Vegetarian,363,46.67,12.45,15.56,5.19,4.15,0,100,0.03
Bhaat,Vegetarian,267,44.5,5.93,6.92,2.97,4.94,0,100,0.02
Khaman,Vegetarian,185,30.83,5.14,5.14,3.08,3.08,0,100,0.03
Shrikhand,Vegetarian,234,29.25,5.85,9.75,19.5,1.95,0,100,0.03
Moong Dal Chilla,Vegetarian,222,33.3,13.32,6.66,3.33,4.44,0,100,0.06
Patra,Vegetarian,227,36.11,6.19,7.22,4.13,4.13,0,100,0.03
Dahi Vada,Vegetarian,266,34.48,8.87,9.85,3.94,4.93,0,100,0.03
Chana Chaat,Vegetarian,197,29.55,7.88,4.93,2.96,3.94,0,100,0.04
Vaghareli Khichdi,Vegetarian,387,50.92,13.24,15.28,6.11,6.11,0,100,0.03
Methi Thepla,Vegetarian,236,37.55,6.44,8.58,4.29,5.36,0,100,0.03
Laadva,Vegetarian,274,43.84,6.58,10.96,8.77,3.29,0,100,0.02
Surati Locho,Vegetarian,240,42,8.4,9.6,3.6,6,0,100,0.04
Sev Usal,Vegetarian,375,53.57,10.71,16.07,6.43,7.5,0,100,0.03
Kachaudi,Vegetarian,253,35.42,8.1,9.11,4.05,3.04,0,100,0.03
Methi Na Thepla,Vegetarian,256,46.55,6.98,9.31,4.65,5.82,0,100,0.03
Handvo,Vegetarian,282,49.04,9.81,12.26,4.9,6.13,0,100,0.03
Masala Dosa,Vegetarian,336,50.91,7.13,12.22,5.09,4.07,0,100,0.02
Pudla,Vegetarian,209,40.64,6.97,5.81,3.48,4.64,0,100,0.03
Undhiyu,Vegetarian,422,61.08,11.11,19.99,7.77,6.66,44.42,100,0.03
Toor Dal,Vegetarian,290,46.61,14.5,6.21,2.07,6.21,0,100,0.05
Chana Dal,Vegetarian,300,45,12,8,4,6,0,100,0.04
Papad,Vegetarian,95,20.36,2.71,4.07,0,2.71,0,100,0.03
Besan Ladoo,Vegetarian,347,44.61,7.93,14.87,19.83,3.97,0,100,0.02
Dabeli,Vegetarian,336,48,6.72,11.52,9.6,4.8,0,100,0.02
Gajjar Halwa,Vegetarian,248,34.21,3.42,6.84,15.39,3.42,0,100,0.01
Meethi Khichdi,Vegetarian,320,53.33,12.8,8.53,7.47,6.4,0,100,0.04
Kadhi Chawal,Vegetarian,288,37.03,7.41,6.58,5.76,4.94,0,100,0.03
Vrat Wale Aloo,Vegetarian,190,28.5,3.8,5.7,7.6,2.85,0,100,0.02
Khakra,Vegetarian,262,41.68,9.53,11.91,2.38,3.57,0,100,0.04
Methi Na Thepla,Vegetarian,269,46.78,8.19,10.53,5.85,5.85,0,100,0.03
Bombil Fry,Vegetarian,315,26.25,21,15.75,3.15,4.2,63,100,0.07
Paatra,Vegetarian,235,41.13,9.4,8.23,4.7,4.7,0,100,0.04
Khichu,Vegetarian,205,47.83,6.83,6.83,4.1,4.1,0,100,0.03
Masala Khichdi,Vegetarian,330,51.56,10.31,10.31,5.16,6.19,0,100,0.03
Chili Pakora,Vegetarian,234,31.91,6.38,10.64,3.19,3.19,0,100,0.03
Gujarati Bhindi,Vegetarian,240,25,8,12,8,4,0,100,0.03
Bharela Ringan,Vegetarian,303,37.88,7.58,16.23,5.41,4.33,0,100,0.03
Chana Batata,Vegetarian,250,40,9,6,4,5,0,100,0.04
Dal Baati,Vegetarian,422,58.03,10.55,18.99,6.33,6.33,0,100,0.03
Sev Khamani,Vegetarian,240,33.6,6.72,7.68,3.84,4.8,0,100,0.03
Sev Usal,Vegetarian,375,53.57,10.71,16.07,6.43,7.5,0,100,0.03
Meetha Dhokla,Vegetarian,252,45.82,5.73,9.16,9.16,3.44,0,100,0.02
Gujarati Pulao,Vegetarian,391,56.59,9.26,15.43,5.14,6.17,0,100,0.02
Bhindi Sambhariya,Vegetarian,276,35.78,7.16,12.27,6.13,4.09,0,100,0.03
Khichdi,Vegetarian,292,43.8,9.73,7.79,3.89,5.84,0,100,0.03
Chaas,Vegetarian,72,5.76,2.88,3.84,2.88,1.92,0,100,0.04
Khandvi,Vegetarian,174,24.17,4.83,5.8,2.9,3.87,0,100,0.03
Dhokla,Vegetarian,196,38.11,5.44,4.36,5.44,3.27,0,100,0.03
Dal Vada,Vegetarian,262,39.87,9.11,11.39,4.56,5.7,0,100,0.03
Mag Ni Dal,Vegetarian,302,50.33,12.08,6.04,4.03,6.04,0,100,0.04
Papad Sabzi,Vegetarian,234,35.1,7.02,11.7,4.68,5.85,0,100,0.03
Methi Na Gota,Vegetarian,216,32.4,6.48,8.64,4.32,4.32,0,100,0.03
Doodh Pak,Vegetarian,300,34.29,6.86,10.29,15.43,2.57,0,100,0.02
Shrikhand,Vegetarian,234,29.25,5.85,9.75,19.5,2.92,0,100,0.03
Gujarati Chaas,Vegetarian,68,4.86,2.91,3.89,2.91,1.94,0,100,0.04
Thalipeeth,Vegetarian,255,44.35,8.87,7.76,4.43,3.33,0,100,0.03
Gathiya,Vegetarian,249,39.61,7.92,10.19,5.66,4.53,0,100,0.03
Khaman Dhokla,Vegetarian,185,30.83,5.14,5.14,4.11,3.08,0,100,0.03
Dudhi na Muthiya,Vegetarian,236,41.3,7.08,9.44,3.54,4.72,0,100,0.03
Mag Ni Dal,Vegetarian,286,45.96,13.28,6.13,3.06,6.13,0,100,0.05
Gujarati Bhindi,Vegetarian,240,25,8,12,8,4,0,100,0.03
Chole Bhature,Vegetarian,448,54.76,11.95,19.91,7.96,4.98,0,100,0.03
Undhiyu,Vegetarian,402,52.89,10.58,19.04,5.29,6.35,42.32,100,0.03
Patra,Vegetarian,231,40.43,8.09,8.09,3.47,5.78,0,100,0.04
Thalipeeth,Vegetarian,255,44.35,8.87,7.76,4.43,3.33,0,100,0.03
Sev Khamani,Vegetarian,240,33.6,6.72,7.68,3.84,4.8,0,100,0.03
Kachaudi,Vegetarian,253,40.25,9.2,10.35,3.45,4.6,0,100,0.04
Khandvi,Vegetarian,161,22.36,3.58,4.47,1.79,1.79,0,100,0.02
Khichu,Vegetarian,205,47.83,6.83,6.83,4.1,4.1,0,100,0.03
Sev Usal,Vegetarian,375,53.57,10.71,16.07,6.43,7.5,0,100,0.03
Masala Khichdi,Vegetarian,330,51.56,10.31,10.31,5.16,6.19,0,100,0.03
Patra,Vegetarian,227,36.11,6.19,7.22,4.13,4.13,0,100,0.03
Bhajiya,Vegetarian,216,32.4,6.48,8.64,4.32,3.24,0,100,0.03
Sev Tameta,Vegetarian,327,46.71,9.34,17.52,8.18,5.84,0,100,0.03
Chana Chaat,Vegetarian,197,29.55,7.88,4.93,2.96,3.94,0,100,0.04
Pudla,Vegetarian,209,40.64,6.97,5.81,3.48,4.64,0,100,0.03
Shakariya,Vegetarian,271,48.78,7.59,7.59,4.34,3.25,0,100,0.03
Thepla,Vegetarian,256,46.55,6.98,9.31,3.49,4.65,0,100,0.03
Undhiyu,Vegetarian,422,61.08,11.11,19.99,7.77,6.66,44.42,100,0.03
Handvo,Vegetarian,278,44.48,7.78,11.12,3.34,5.56,0,100,0.03
Khichdi,Vegetarian,318,47.7,12.72,10.6,4.24,6.36,0,100,0.04
Sev Khamani,Vegetarian,240,33.6,6.72,7.68,3.84,4.8,0,100,0.03
Gujarati Pulao,Vegetarian,391,56.59,9.26,15.43,5.14,6.17,0,100,0.02
Masala Dosa,Vegetarian,336,50.91,7.13,12.22,5.09,4.07,0,100,0.02
Dhokla,Vegetarian,196,38.11,5.44,4.36,5.44,3.27,0,100,0.03
Khandvi,Vegetarian,161,26.83,4.29,5.37,2.15,2.15,0,100,0.03
Thepla,Vegetarian,256,46.55,6.98,9.31,3.49,4.65,0,100,0.03
Handvo,Vegetarian,278,44.48,7.78,11.12,3.34,5.56,0,100,0.03
Undhiyu,Vegetarian,402,52.89,10.58,19.04,5.29,6.35,42.32,100,0.03
Patra,Vegetarian,231,40.43,8.09,8.09,3.47,5.78,0,100,0.04
Dal Dhokli,Vegetarian,364,52,14.56,12.48,6.24,6.24,0,100,0.04
Sev Tameta,Vegetarian,327,46.71,9.34,17.52,8.18,5.84,0,100,0.03
Khichdi,Vegetarian,318,47.7,12.72,10.6,4.24,6.36,0,100,0.04
Gujarati Kadhi,Vegetarian,204,31.73,5.67,9.07,3.4,2.27,0,100,0.03
Chakri,Vegetarian,234,31.91,6.38,10.64,2.13,2.13,0,100,0.03
Shakariya,Vegetarian,271,48.78,7.59,7.59,4.34,3.25,0,100,0.03
Garlic Chutney,Vegetarian,71,10.14,1.01,3.04,1.01,1.01,0,100,0.01
Chaas,Vegetarian,68,4.86,2.91,3.89,2.91,0.97,0,100,0.04
Farsan,Vegetarian,235,35.76,8.17,7.15,4.09,3.07,0,100,0.03
Chhole,Vegetarian,344,44.23,13.76,11.79,3.93,4.91,0,100,0.04
Gathiya,Vegetarian,229,32.71,7.63,9.81,3.27,2.18,0,100,0.03
Dal Tadka,Vegetarian,363,46.67,12.45,15.56,5.19,4.15,0,100,0.03
Bhaat,Vegetarian,267,44.5,5.93,6.92,2.97,4.94,0,100,0.02
Khaman,Vegetarian,185,30.83,5.14,5.14,3.08,3.08,0,100,0.03
Shrikhand,Vegetarian,234,29.25,5.85,9.75,19.5,1.95,0,100,0.03
Moong Dal Chilla,Vegetarian,222,33.3,13.32,6.66,3.33,4.44,0,100,0.06
Patra,Vegetarian,227,36.11,6.19,7.22,4.13,4.13,0,100,0.03
Dahi Vada,Vegetarian,266,34.48,8.87,9.85,3.94,4.93,0,100,0.03
Chana Chaat,Vegetarian,197,29.55,7.88,4.93,2.96,3.94,0,100,0.04
Vaghareli Khichdi,Vegetarian,387,50.92,13.24,15.28,6.11,6.11,0,100,0.03
Methi Thepla,Vegetarian,236,37.55,6.44,8.58,4.29,5.36,0,100,0.03
Laadva,Vegetarian,274,43.84,6.58,10.96,8.77,3.29,0,100,0.02
Surati Locho,Vegetarian,240,42,8.4,9.6,3.6,6,0,100,0.04
Dal Baati,Vegetarian,422,58.03,10.55,18.99,6.33,6.33,0,100,0.03
Churma,Vegetarian,308,55.44,6.16,14.78,18.48,4.93,0,100,0.02
Gatte Ki Sabzi,Vegetarian,383,54.71,13.13,16.41,10.94,6.57,0,100,0.03
Ker Sangri,Vegetarian,327,48.44,9.69,18.17,8.48,6.06,0,100,0.03
Laal Maas,Vegetarian,512,39.82,32.43,29.01,5.69,7.96,56.89,100,0.06
Shahi Gatte,Vegetarian,383,53.19,12.77,15.96,8.51,5.32,0,100,0.03
Churma Ladoo,Vegetarian,362,50.91,5.66,20.36,22.63,5.66,0,100,0.02
Chana Chaat,Vegetarian,206,29.43,7.85,5.89,3.92,4.9,0,100,0.04
Panchmel Dal,Vegetarian,356,53.94,12.95,12.95,5.39,6.47,0,100,0.04
Khichdi,Vegetarian,302,48.54,8.63,10.79,4.31,6.47,0,100,0.03
Methi Thepla,Vegetarian,236,37.55,6.44,8.58,4.29,5.36,0,100,0.03
Missi Roti,Vegetarian,262,36.68,8.38,10.48,4.19,5.24,0,100,0.03
Masala Papad,Vegetarian,141,18.8,3.76,4.7,1.88,1.88,0,100,0.03
Papad Ki Sabzi,Vegetarian,212,31.8,5.3,8.48,4.24,3.18,0,100,0.03
Chili Garlic Paratha,Vegetarian,300,40,8,12,8,5,0,100,0.03
Kaladi,Vegetarian,196,21.3,5.11,6.82,8.52,2.56,0,100,0.03
Pyaz Kachori,Vegetarian,272,38.08,6.53,13.06,8.7,3.26,0,100,0.02
Alu Ki Sabzi,Vegetarian,292,41.71,6.26,12.51,8.34,5.21,0,100,0.02
Gilavati Kebab,Vegetarian,365,22.81,17.11,28.52,3.42,5.7,45.63,100,0.05
Malai Ghevar,Vegetarian,400,52.63,5.26,21.05,21.05,4.21,0,100,0.01
Rajma Masala,Vegetarian,350,50,15,10,5,8,0,100,0.04
Bajre Ki Roti,Vegetarian,280,46.67,7.26,8.3,6.22,5.19,0,100,0.03
Lassi,Vegetarian,187,25.97,6.23,7.27,10.39,4.16,0,100,0.03
Chana Masala,Vegetarian,310,46.5,10.33,10.33,5.17,8.27,0,100,0.03
Pyaz Ki Kachori,Vegetarian,270,45,5.63,11.25,6.75,3.38,0,100,0.02
Gobhi Ke Parathe,Vegetarian,316,49.03,7.63,13.08,8.72,6.54,0,100,0.02
Kachri Ki Sabzi,Vegetarian,240,38.18,7.64,8.73,5.45,6.55,0,100,0.03
Saag,Vegetarian,374,56.67,13.6,15.87,7.93,6.8,0,100,0.04
Bhutte Ka Kees,Vegetarian,282,45.12,9.02,11.28,7.9,5.64,0,100,0.03
Imarti,Vegetarian,310,48.44,4.84,9.69,19.37,3.87,0,100,0.02
Garlic Chutney,Vegetarian,84,10.5,2.1,4.2,1.05,1.05,0,100,0.03
Bhindi Masala,Vegetarian,280,44.55,10.18,15.27,7.64,5.09,0,100,0.04
Dal Tadka,Vegetarian,344,45.53,14.16,12.14,6.07,5.06,0,100,0.04
Jalebi,Vegetarian,379,59.56,6.5,16.24,27.07,4.33,0,100,0.02
